N  read    "read wait"   map	    shuffle communicate     "reduce wait"   reduce
8	0.06875	81.10625	875.5325	6.51875	60.48875	18.775	14.02	
16	0.025625	39.300625	436.638125	3.383125	46.43875	14.1525	6.1575
32	0.0140625	21.7015625	227.6321875	1.816875	24.9409375	8.9521875	2.6859375	
64	0.00546875	10.10046875	121.90453125	0.94765625	12.61734375	29.28875	1.1953125	
128	0.00375	5.4684375	61.662265625	0.491796875	3.400546875	38.911875	0.513359375	
256	0.0022265625	4.6655078125	31.1566796875	0.249765625	2.6127734375	23.1680078125	0.221015625	
