N  read    "read wait"   map	    shuffle communicate     "reduce wait"   reduce
10/8	0.00	1.10	14.29	0.05	0.28	0.02	0.06	
20/16	0.00	1.44	14.48	0.09	0.75	0.05	0.03	
40/32	0.01	1.82	14.98	0.09	1.42	0.15	0.12	
80/64	0.00	2.83	15.85	0.08	2.35	1.25	0.16	
160/128	0.00	1.46	15.70	0.19	3.29	4.75	0.12	
320/256	0.00	1.74	15.99	0.10	0.12	9.90	0.10	
