GB  read    "read wait"   map	    shuffle communicate     "reduce wait"   reduce
10  0.01	28.85         150.54    0.70    31.49	        13.24	        0.62
20  0.02	55.40	      247.86	1.18	39.33	        23.31	        0.96
40  0.06	192.71	512.66	3.92	47.66	40.93	4.20
80  0.05	142.48	1068.98	6.59	128.48	178.09	7.19
160 0.14	689.22	2048.93	16.22	85.94	251.21	17.98
320 0.24	499.15	4160.69	32.21	345.50	741.33	41.14
640 0.47	1123.85	8270.06	63.75	632.97	1503.79	81.33

